Snowballing: Backward/Forward,Method,Annotator 1,Annotator 2,Origin Paper,,
LONViZ: Unboxing the black-box of Configurable Software Systems from a Complex Networks Perspective,Forward,not-relevant,,Do not blame users for misconfigurations,,
How to fight production incidents? an empirical study on a large-scale cloud service,Forward,relevant,,Do not blame users for misconfigurations,,
Simulation Investigation on the Thermo-mechanical Coupling of the QT 300 Piston,Forward,not-relevant,,Do not blame users for misconfigurations,,
Challenges in validating FLOSS configuration,Forward,not-relevant,,Do not blame users for misconfigurations,,
Customer Self-remediation of Proactive Network Issue Detection and Notification,Forward,not-relevant,,Do not blame users for misconfigurations,,
Learning from the past: designing secure network protocols,Forward,not-relevant,,Do not blame users for misconfigurations,,
Automatic Parameter Tuning for Big Data Pipelines with Deep Reinforcement Learning,Forward,not-relevant,,Do not blame users for misconfigurations,,
Fail-slow fault tolerance needs programming support,Forward,not-relevant,,Do not blame users for misconfigurations,,
Predicting Hadoop misconfigurations using machine learning,Forward,relevant,,Do not blame users for misconfigurations,,
An experiment comparing lifted and delayed variability-aware program analysis,Forward,not-relevant,,Do not blame users for misconfigurations,,
An empirical evaluation of misconfiguration in Internet services,Forward,not-relevant,,Do not blame users for misconfigurations,,
Leveraging Virtual Machine Introspection for {Hot-Hardening} of Arbitrary {Cloud-User} Applications,Forward,not-relevant,,Do not blame users for misconfigurations,,
Context-aware configuration,Forward,relevant,,Do not blame users for misconfigurations,,
Dexter: faster troubleshooting of misconfiguration cases using system logs,Forward,not-relevant,,Do not blame users for misconfigurations,,
How is server software configured? examining the structure of configuration files,Forward,not accessible,,Do not blame users for misconfigurations,,
STAD: stack trace based automatic software misconfiguration diagnosis via value dependency graph,Forward,not accessible,,Do not blame users for misconfigurations,,
Automatic Methods to Enhance Server Systems in Access Control Diagnosis,Forward,not-relevant,,Do not blame users for misconfigurations,,
"Introducing context awareness in unmodified, context-unaware software",Forward,not-relevant,,Do not blame users for misconfigurations,,
On the identification of performance bottlenecks in multi-tier distributed systems,Forward,not accessible,,Do not blame users for misconfigurations,,
New applications of software synthesis: Verification of configuration files and firewall repair,Forward,relevant,,Do not blame users for misconfigurations,,
MAVERICK: Proactively detecting network control plane bugs using structural outlierness,Forward,relevant,,Do not blame users for misconfigurations,,
Hardening High-Assurance Security Systems with Trusted Computing,Forward,not-relevant,,Do not blame users for misconfigurations,,
Mitigating Cascading Performance Failures and Outages in Cloud Systems,Forward,not-relevant,,Do not blame users for misconfigurations,,
IdenEH: Identify error-handling code snippets in large-scale software,Forward,not-relevant,,Do not blame users for misconfigurations,,
White-box Analysis for Modeling and Debugging the Performance of Configurable Systems,Forward,relevant,,Do not blame users for misconfigurations,,
Towards automated network configuration management,Forward,not-relevant,,Do not blame users for misconfigurations,,
"Modelling, Reverse Engineering, and Learning Software Variability",Forward,not-relevant,,Do not blame users for misconfigurations,,
Hardening with Scapolite: a DevOps-based Approach for Improved Authoring and Testing of Security-Configuration Guides in Large-Scale Organizations,Forward,not-relevant,,Do not blame users for misconfigurations,,
Learning to Adapt: Analyses for Configurable Software,Forward,relevant,,Do not blame users for misconfigurations,,
Confguru-A system for fully automated debugging of configuration errors,Forward,not-relevant,,Do not blame users for misconfigurations,,
The Need for Automated Analysis of Computer Systems' Configuration,Forward,not accessible,,Do not blame users for misconfigurations,,
Multivariable control design for a boiler furnace,Forward,not-relevant,,Do not blame users for misconfigurations,,
Detecting Performance Bottlenecks Guided by Resource Usage,Forward,not-relevant,,Do not blame users for misconfigurations,,
Automatic Failure Diagnosis for Distributed Systems,Forward,not-relevant,,Do not blame users for misconfigurations,,
Improving Logging to Reduce Permission Over-Granting Mistakes,Forward,not-relevant,,Do not blame users for misconfigurations,,
TFix+: Self-configuring Hybrid Timeout Bug Fixing for Cloud Systems,Forward,relevant,,Do not blame users for misconfigurations,,
Multi-Dimensional Identification of Vulnerable Access Control in Mobile Applications,Forward,not-relevant,,Do not blame users for misconfigurations,,
Going through the Life Cycle of Faults in Clouds: Guidelines on Fault Handling,Forward,not-relevant,,Do not blame users for misconfigurations,,
Doc-Overdue–An Automated Configuration File State Finder for Debian Systems,Forward,not-relevant,,Do not blame users for misconfigurations,,
Parsing of configuration files,Forward,not-relevant,,Do not blame users for misconfigurations,,
Addressing high dimensionality and lack of feature models in testing of software product lines,Forward,relevant,,Do not blame users for misconfigurations,,
Reusing software tests for configuration testing: A case study of the Hadoop project,Forward,not-relevant,,Do not blame users for misconfigurations,,
Using Feature Selection to Identify Chains of Insecure Software Configuration Parameters,Forward,relevant,,Do not blame users for misconfigurations,,
Fixing Software Vulnerabilities and Configuration Errors,Forward,relevant,,Do not blame users for misconfigurations,,
Understanding and Auto-Adjusting Performance-Related Configurations,Forward,not-relevant,,Do not blame users for misconfigurations,,
Self-adaptation via concurrent multi-action evaluation for unknown context,Forward,not-relevant,,Do not blame users for misconfigurations,,
Improving the Correctness of Automated Program Repair,Forward,not-relevant,,Do not blame users for misconfigurations,,
Usability of System Configuration Languages: Confusion caused by Ordering,Forward,not-relevant,,Do not blame users for misconfigurations,,
Code Generation from Configuration Specification Languages,Forward,not-relevant,,Do not blame users for misconfigurations,,
Diagnosing Home Network Misconfigurations Using Shared Knowledge,Backward,not-relevant,,Do not blame users for misconfigurations,,
Using Causality to Diagnose Configuration Bugs,Backward,not-relevant,,Do not blame users for misconfigurations,,
Generic and Automatic Address Configuration for Data Center Networks,Backward,not-relevant,,Do not blame users for misconfigurations,,
Tuning Database Conguration Parameters with iTuned,Backward,not-relevant,,Do not blame users for misconfigurations,,
Bugs as Deviant Behavior: A General Approach to Inferring Errors in Systems Code,Backward,not-relevant,,Do not blame users for misconfigurations,,
Detecting BGP Configuration Faults with Static Analysis,Backward,relevant,,Do not blame users for misconfigurations,,
Why Do Computers Stop and What Can Be Done About It?,Backward,not-relevant,,Do not blame users for misconfigurations,,
Reducing Total Cost of Ownership,Backward,not-relevant,,Do not blame users for misconfigurations,,
Enabling Configuration-Independent Automation by Non-Expert Users,Backward,not-relevant,,Do not blame users for misconfigurations,,
LLVM: A Compilation Framework for Lifelong Program Analysis & Transformation,Backward,not-relevant,,Do not blame users for misconfigurations,,
Snitch: Interactive Decision Trees for Troubleshooting Misconfigurations,Backward,not-relevant,,Do not blame users for misconfigurations,,
Understanding and Dealing with Operator Mistakes in Internet Services,Backward,not-relevant,,Do not blame users for misconfigurations,,
Design Rules Based on Analyses of Human Error,Backward,not-relevant,,Do not blame users for misconfigurations,,
A Declarative Language Approach to Device Configuration,Backward,relevant,,Do not blame users for misconfigurations,,
Thin Slicing,Backward,not-relevant,,Do not blame users for misconfigurations,,
AutoBash: Improving Configuration Management with Operating System Causality Analysis,Backward,relevant,,Do not blame users for misconfigurations,,
Configuration Debugging as Search: Finding the Needle in the Haystack,Backward,not-relevant,,Do not blame users for misconfigurations,,
Automated Known Problem Diagnosis with Event Traces,Backward,not-relevant,,Do not blame users for misconfigurations,,
Software Misconfiguration Troubleshooting Based on State Analysis,Forward,not-relevant,,ConfTest: Generating Comprehensive Misconfiguration for System Reaction Ability Evaluation,,
Misconfiguration Injection in Systems for Reaction Evaluation,Forward,relevant,,ConfTest: Generating Comprehensive Misconfiguration for System Reaction Ability Evaluation,,
An Empirical Study with GlassFish and JBoss,Backward ,relevant,,Challenges and opportunities: an in-depth empirical study on configuration error injection testing,,
Directed Greybox Fuzzing,Backward ,not-relevant,,Challenges and opportunities: an in-depth empirical study on configuration error injection testing,,
SMARTLOG: Place error log statement by deep understanding of log intention,Backward ,not-relevant,,Challenges and opportunities: an in-depth empirical study on configuration error injection testing,,
FairFuzz: A Targeted Mutation Strategy for Increasing Greybox Fuzz Testing Coverage,Backward ,not-relevant,,Challenges and opportunities: an in-depth empirical study on configuration error injection testing,,
Steelix: Program-State Based Binary Fuzzing,Backward ,not-relevant,,Challenges and opportunities: an in-depth empirical study on configuration error injection testing,,
"The Art, Science, and Engineering of Fuzzing: A Survey",Backward ,not-relevant,,Challenges and opportunities: an in-depth empirical study on configuration error injection testing,,
An Empirical Study of the Reliability of UNIX Utilities,Backward ,not-relevant,,Challenges and opportunities: an in-depth empirical study on configuration error injection testing,,
Fuzz Revisited: A Reexamination of the Reliability of UNIX Utilities and Services,Backward ,not-relevant,,Challenges and opportunities: an in-depth empirical study on configuration error injection testing,,
Improving Function Coverage with Munch: A Hybrid Fuzzing and Directed Symbolic Execution Approach,Backward ,not-relevant,,Challenges and opportunities: an in-depth empirical study on configuration error injection testing,,
Semantic Fuzzing with Zest,Backward ,not-relevant,,Challenges and opportunities: an in-depth empirical study on configuration error injection testing,,
FuzzFactory: Domain-Specific Fuzzing with Waypoints,Backward ,not-relevant,,Challenges and opportunities: an in-depth empirical study on configuration error injection testing,,
VUzzer: Application-aware Evolutionary Fuzzing,Backward ,not-relevant,,Challenges and opportunities: an in-depth empirical study on configuration error injection testing,,
Driller: Augmenting Fuzzing Through Selective Symbolic Execution,Backward ,not-relevant,,Challenges and opportunities: an in-depth empirical study on configuration error injection testing,,
Network monitoring: Present and future,Forward,not-relevant,,Tracking configuration changes proactively in large IT environments,,
Grand research challenges in information systems,Backward,not-relevant,,ConfVD: System Reactions Analysis and Evaluation Through Misconfiguration Injection,,
Automatic type inference for proactive misconfiguration prevention,Backward,relevant,,ConfigFile++: Automatic comment enhancement for misconfiguration prevention,,
A machine learning approach to pos tagging,Backward,not-relevant,,ConfigFile++: Automatic comment enhancement for misconfiguration prevention,,
Libsvm: A library for support vector machines,Backward,not-relevant,,ConfigFile++: Automatic comment enhancement for misconfiguration prevention,,
Textrank: Bringing order into texts,Backward,not-relevant,,ConfigFile++: Automatic comment enhancement for misconfiguration prevention,,
An empirical study on evolution of api documentation,Backward,not-relevant,,ConfigFile++: Automatic comment enhancement for misconfiguration prevention,,
@tcomment: Testing javadoc comments to detect comment-code inconsistencies,Backward,not-relevant,,ConfigFile++: Automatic comment enhancement for misconfiguration prevention,,
Quality analysis of source code comments,Backward,not-relevant,,ConfigFile++: Automatic comment enhancement for misconfiguration prevention,,
Interactive program synthesis by augmented examples,Forward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Towards learning-aided configuration in 3D printing: Feasibility study and application to defect prediction,Forward,relevant,,Synthesizing configuration file specifications with association rule learning,,
Analyzing infrastructure as code to prevent intra-update sniping vulnerabilities,Forward,relevant,,Synthesizing configuration file specifications with association rule learning,,
Confadvisor: A performance-centric configuration tuning framework for containers on kubernetes,Forward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Learning CI Configuration Correctness for Early Build Feedback,Forward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Grammar filtering for syntax-guided synthesis,Forward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Formal Methods and Computing Identity-based Mentorship for Early Stage Researchers,Forward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
DRIVE: Dockerfile Rule Mining and Violation Detection,Forward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Statically verifying continuous integration configurations,Forward,relevant,,Synthesizing configuration file specifications with association rule learning,,
General Attacks and Approaches in Cloud-Scale Networks,Forward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
"A Modular Synthesis Framework for Software Deployment, Design, and Implementation",Forward,relevant,,Synthesizing configuration file specifications with association rule learning,,
Developing a type system for a configuration specification language,Forward,relevant,,Synthesizing configuration file specifications with association rule learning,,
Pollution Attacks and Defense in Cloud-like Networks,Forward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Mining association rules between sets of items in large databases,Backward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Sequential pattern mining using a bitmap representation,Backward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Declarative configuration management for complex and dynamic networks,Backward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Configuration Management at Massive Scale: System Design and Experience,Backward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Frequent pattern mining: current status and future directions,Backward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
"Three approaches to the definition of the concept “quantity of information""",Backward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Applications of machine learning and rule induction,Backward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Rationalizing neural predictions,Backward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Dafny: An Automatic Program Verifier for Functional Correctness,Backward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Declarative routing: Extensible routing with declarative queries,Backward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
A taxonomy of sequential pattern mining algorithms,Backward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
GRASShopper - Complete Heap Verification with Mixed Specifications,Backward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Predicting program properties from big code,Backward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Why Programs Fail: A Guide to Systematic Debugging,Backward,not-relevant,,Synthesizing configuration file specifications with association rule learning,,
Identifying bad software changes via multimodal anomaly detection for online service systems,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Large-scale intent analysis for identifying large-review-effort code changes,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Nudge: accelerating overdue pull requests towards completion,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Learning Patterns in Configuration,Forward,relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
SoftNER: Mining knowledge graphs from cloud incidents,Forward,relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Neural knowledge extraction from cloud service incidents,Forward,relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Unicorn: reasoning about configurable system performance through the lens of causality,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
See it to believe it? the role of visualisation in systems research,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
A framework for approximate generalization in quantitative theories,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Unital anti-unification: Type and algorithms,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Anti-unification and the theory of semirings,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
One or Nothing: Anti-unification over the Simply-Typed Lambda Calculus,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
On Indirectly Dependent Documentation in the Context of Code Evolution: A Study,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
CADET: Debugging and Fixing Misconfigurations using Counterfactual Reasoning,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
An empirical investigation of missing data handling in cloud node failure prediction,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Generalization algorithms with proximity relations in full fuzzy signatures,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Leveraging the external resources and meta-data to highlight the gap between a programs's implementation and its documentation,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Identifying Erroneous Software Changes through Self-Supervised Contrastive Learning on Time Series Data,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
I Don't Know What You Did Last Summer: The Missing Role of Humans in Systems Research,Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
"A framework for approximate generalization in quantitative theories: RISC Report Series, 22-04",Forward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Fast algorithms for mining association rules in large databases,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Helping developers help themselves: Automatic decomposition of code review changesets,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Phoenix: Automated data-driven synthesis of repairs for static analysis violations,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
An empirical study on the developers’ perception of software coupling,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Efficiently mining long patterns from databases,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Orca: Differential bug localization in large-scale services,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Dynamic itemset counting and implication rules for market basket data,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Mining frequent patterns without candidate generation,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Anti-unification for unranked terms and hedges,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Muvi: Automatically inferring multivariable access correlations and detecting related semantic and concurrency bugs,Backward,relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Deepbugs: A learning approach to name-based bug detection,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Automatic generation of suggestions for program investigation,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Getafix: Learning to fix bugs automatically,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Acms: The akamai configuration management system,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Using kernel density estimates to investigate multimodality,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Tortoise: Interactive system configuration repair,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
An empirical study on the relation between dependency neighborhoods and failures,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
Mining version histories to guide software changes,Backward,not-relevant,,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis,,
A Large-Scale Analysis of the Security of Embedded Firmwares,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
"Detection, avoidance, and attack pattern mechanisms in modern web application vulnerabilities: present and future challenges",Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Survey and Taxonomy of Adversarial Reconnaissance Techniques,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
There's a hole in that bucket! a large-scale analysis of misconfigured s3 buckets,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Confeagle: Automated analysis of configuration vulnerabilities in web applications,Forward,relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
WebGuardia-An integrated penetration testing system to detect web application vulnerabilities,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Detecting vulnerabilities of web application using penetration testing and prevent using threat modeling,Forward,not accessible,,Early detection of security misconfiguration vulnerabilities in web applications,,
ChevroCrypto–Cryptography API,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Large scale vulnerability scanning,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
A Three-Pronged Approach to Mitigate Web Attacks,Forward,not accessible,,Early detection of security misconfiguration vulnerabilities in web applications,,
"Security testing challenges of web developers in the Lagos, Nigeria IT industry",Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Leveraging Artificial Intelligence Capabilities for Real-Time Monitoring of Cybersecurity Threats,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
DevSecOps: Enabling Security by Design in Rapid Software Development,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Security Threat Landscape,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Preventive Measures for Digital Learning Spaces' Security Issues,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Check Yourself Before You Wreck Yourself-A study of how to assess security vulnerabilities of web servers through configuration analysis,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Exploring Information Technology Professional's Perspectives on Controlling Security Misconfigurations in the United States: A Generic Qualitative Inquiry,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Towards a perspective of web application vulnerabilities and security threats,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Penetration testing for the inexperienced ethical hacker: A baseline methodology for detecting and mitigating web application vulnerabilities,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
A SURVEY ON EXPOSED VULNERABILITIES IN WEB PPLICATIONS,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
User and infrastructure security and privacy with regard to compliance,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Website Security Analysis of Department and Integrated Services One Door of XYZ Regency using Kali Linux,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Automatic Detection of Security Misconfigurations in Web Applications,Forward,not accessible,,Early detection of security misconfiguration vulnerabilities in web applications,,
Method of protection of database management systems against sql-identifier injection attacks,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
An Architecture for Misconfiguration Patching of Web Services: A Case Study of Apache Server,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Web application penetration testing: an analysis of a corporate application according to OWASP guidelines,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
A Secure Software Design Pattern in the Prevention for Reflected Cross-Site Scripting,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Secure Web Application Service Detecting–XSS Attacks,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Design & Develop Misconfiguration Vulnerabilities Scanner for Web Applications,Forward,relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Security By Default,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Gaining Cyber Security Insight Through an Analysis of Open Source Intelligence Data: An East African Case Study,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Design of a security system for Web Attacks,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Data Center Governance Information Security Compliance Assessment Based on the Cobit Framewok,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
SEVENTH FRAMEWORK PROGRAMME,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Pyrena: Closing the semantic gap for access control in web-based content management systems,Forward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Some Trends in Web Application Development,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
The Spoken Web Application Framework: User Generated Content and Service Creation through Low-End Mobiles,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
New Threats and Attacks on the World Wide Web,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Research Directions in Web Site Evolution II: Web Application Security,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Know your Enemy: Web Application Threats,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
The Top Cyber Security Risks,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Vulnerability Analysis of Web Applications,Backward,not accessible,,Early detection of security misconfiguration vulnerabilities in web applications,,
Multi-module Vulnerability Analysis of Web-based Applications,Backward,relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Testing and Comparing Web Vulnerability Scanning Tools for SQL Injection and XSS Attacks,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Securing Frame Communication in Browsers,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Assessing and Comparing Security of Web Servers,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Top Threats to Cloud Computing V1.0,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
A New Form of DOS Attack in a Cloud and Its Avoidance Mechanism,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
A Survey on Security Issues in Service Delivery Models of Cloud Computing,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Configuration Auditing To Help Prevent Web Application Attacks,Backward,not found,,Early detection of security misconfiguration vulnerabilities in web applications,,
Web Application Security Assessment Tools,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
A Hybrid Analysis Framework for Detecting Web Application Vulnerabilities,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Toward Automated Detection of Logic Vulnerabilities in Web Applications,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
A Study and Implementation of Vulnerability Assessment and Misconfiguration Detection,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
A Testing Framework for Web Application Security Assessment,Backward,not-relevant,,Early detection of security misconfiguration vulnerabilities in web applications,,
Guest Editorial: A Retrospective of Special Sections on Software Testing and Program Analysis,Forward,not-relevant,,Do you really know how to configure your software? configuration constraints in source code may help,,
Intelligent Software Service Configuration Technology Based on Association Mining,Forward,relevant,,Do you really know how to configure your software? configuration constraints in source code may help,,
Mixsets: Combining Annotative and Compositional Approaches to Variability and Product Lines,Forward,not-relevant,,Do you really know how to configure your software? configuration constraints in source code may help,,
Which Classes Can Be Configured as Beans in Spring XML Files?,Forward,not-relevant,,Do you really know how to configure your software? configuration constraints in source code may help,,
Nomen est omen: Exploring and exploiting similarities between argument and parameter names,Backward,not-relevant,,Do you really know how to configure your software? configuration constraints in source code may help,,
How good is your puppet? an empirically defined and validated quality model for puppet,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Developer mistakes in writing android manifests: An empirical study of configuration errors,Forward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Visualizing distributed system executions,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Tool choice matters: JavaScript quality assurance tools and usage outcomes in GitHub projects,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Detecting anomalies in microservices with execution trace comparison,Forward,not accessible,,Systems Approaches to Tackling Configuration Errors: A Survey,,
"“Anyone Else Seeing this Error?”: Community, System Administrators, and Patch Information",Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Towards automated configuration of cloud storage gateways: A data driven approach,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
A Comprehensive Study of Bugs in Software Defined Networks,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Managing iot at the edge: The case for ble beacons,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Performance regression detection in devops,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Integrated model-checking for the design of safe and efficient distributed software commissioning,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
ConfigMiner: Identifying the appropriate configuration options for config-related user questions by mining online forums,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Automatically detecting risky scripts in infrastructure code,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Puppet: A Declarative Subset of the Puppet Configuration Language,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Detecting operator errors in cloud maintenance operations,Forward,relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Performance Health Index for Complex Cyber Infrastructures,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Can we use programmer's knowledge? fixing parameter configuration errors in hadoop through analyzing q&a sites,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Efficient Big-Data Access: Taxonomy and a Comprehensive Survey,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
Smt-based robot transition repair,Forward,not-relevant,,Systems Approaches to Tackling Configuration Errors: A Survey,,
