Title,Method,Relevant,Origin Paper,Year,Publication,Level:Type Iteration 1,Level:Type Iteration 2,Level:Type Iteration 3,Level:Type Iteration 4,Notes,Iteration 1,Iteration 2,Iteration 3,Iteration 4
Propagating configuration decisions with modal implication graphs,Forward,relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,2018,ICSE,"feature:constraints, feature:cross-tree constraints",intra-PL:constraints,intra-PL:feature constraints,intra-component:value control,,done,done,done,done
Recommending Faulty Configurations for Interacting Systems Under Test Using Multi-objective Search,Forward,relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,2021,TSE,multi-product-line:cross-product-line rules,cross-PL:constraints,cross-PL:other dependency,cross-component:other dependency,,done,done,done,done
Mining cross product line rules with multi-objective search and machine learning,Forward,relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,2017,GECCO,multi-product-line:cross-product-line rules,cross-PL:constraints,cross-PL:other dependency,cross-component:other dependency,,done,done,done,done
Using multi-objective search and machine learning to infer rules constraining product configurations,Forward,relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,2020,ASE Journal,"multi-product-line:cross-product-line rules, feature:constraints",cross-PL:constraints,cross-PL:other dependency,cross-component:other dependency,,done,done,done,done
Handling preprocessorconditioned declarations,Backward,relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,2002,IEEE Comput. Soc,intra-component:constraints,intra-component:constraints,intra-component:data type constraints,intra-component:data type constraints,,done,done,done,done
Feature model extraction from large collections of informal product descriptions,Backward,relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,2013,ESEC/FSE,"feature:constraints, feature:cross-tree constraints",intra-PL:constraints,intra-PL:feature constraints,intra-component:value control,,done,done,done,done
Using symbolic evaluation to understand behavior in configurable software systems,Backward,relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,2010,ICSE,other:interaction,other:other,source-code:control-flow,"source-code:control-flow, cross-component:value equality",,done,done,done,done
Automated diagnosis of product-line configuration errors in feature models,Backward,relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,2008,SPLC,"feature:constraints, feature:cross-tree constraints",intra-PL:constraints,intra-PL:feature constraints,intra-component:value control,,done,done,done,done
An empirical study on performance bugs for highly configurable software systems,Forward,relevant,Automated diagnosis of software configuration errors,2016,ESEM,"intra-component:default, intra-component:constraints","intra-component:default, intra-component:constraints","intra-component:default, intra-component:syntax constraints, intra-component:semantic constraints","intra-component:default, intra-component:syntax constraints, intra-component:semantic constraints",,done,done,done,done
Staccato: A bug finder for dynamic configuration updates,Forward,relevant,Automated diagnosis of software configuration errors,2016,ECOOP,other:constraints,other:other,other:other constraints,other:other constraints,,done,done,done,done
Inferring and applying def-use like configuration couplings in deployment descriptors,Forward,relevant,Automated diagnosis of software configuration errors,2020,ASE,"intra-component:constraints, intra-component:value relationship","intra-component:constraints, intra-component:value relationship",intra-component:value relationship,intra-component:value equality,"arl, evaluation",done,done,done,done
Ocasta: Clustering configuration settings for error recovery,Forward,relevant,Automated diagnosis of software configuration errors,2014,DNS,"intra-component:value control, intra-component:value relationship","intra-component:value control, intra-component:value relationship","intra-component:value control, intra-component:value relationship",intra-component:value control,,done,done,done,done
Detecting inter-component configuration errors in proactive: a relation-aware method,Forward,relevant,Automated diagnosis of software configuration errors,2014,QSIC,cross-component:value relationship,cross-component:value relationship,cross-component:value relationship,cross-component:value equality,defines rules for cross-component dependencies,done,done,done,done
Extracting configuration parameter interactions using static analysis,Forward,relevant,Automated diagnosis of software configuration errors,2016,ICPC,"source-code:control-flow, source-code:data-flow","source-code:control-flow, source-code:data-flow","source-code:control-flow, source-code:data-flow","source-code:control-flow, source-code:data-flow",,done,done,done,done
An empirical study on configuration errors in commercial and open source systems,Backward,relevant,Automated diagnosis of software configuration errors,2011,SOSP,"cross-component:value relationship, intra-component:constraints","cross-component:value relationship, intra-component:constraints","cross-component:value relationship, intra-component:syntax constraints","cross-component:value equality, intra-component:syntax constraints, cross-component:value inequality, intra-component:other dependency",,done,done,done,done
Multi-layer software configuration: Empirical study on wordpress,Forward,relevant,Automated diagnosis of software configuration errors,2015,SCAM,"cross-component:overwrite, cross-component:other",cross-component:overwrite,cross-component:overwrite,"cross-component:overwrite, cross-component:value equality",,done,done,done,done
Mining feature models from functional requirements,Forward,relevant,ConfDiagnoser: an automated configuration error diagnosis tool for Java software,2016,The Computer Journal,feature:constraints,intra-PL:constraints,intra-PL:feature constraints,"intra-component:value equality, intra-component:syntax constraints, intra-component:value control",,done,done,done,done
Do# ifdef-based Variation Points Realize Feature Model Constraints?,Forward,relevant,Mining configuration constraints: static analyses and empirical results,2015,ACM SIGSOFT,"feature:cross-tree constraints, feature:constraints",intra-PL:constraints,intra-PL:feature constraints,"intra-component:value control, source-code:control-flow",,done,done,done,done
SPLRevO: optimizing complex feature models in search based reverse engineering of software product lines,Forward,relevant,Mining configuration constraints: static analyses and empirical results,2015,SBSE Symposium,"feature:cross-tree constraints, feature:constraints",intra-PL:constraints,intra-PL:feature constraints,"intra-component:value control, intra-component:value equality",,done,done,done,done
Supporting awareness during collaborative and distributed configuration of multi product lines,Forward,relevant,Mining configuration constraints: static analyses and empirical results,2012,APSEC,multi-product-line:other,other:other,cross-PL:other dependency,cross-component:value control,,done,done,done,done
Constraint checking in distributed product configuration of multi product lines,Forward,relevant,Managing emerging configuration dependencies in multi product lines,2013,APSEC,"intra-PL:constraints, inter-PL:constraints","intra-PL:constraints, cross-PL:constraints","intra-PL:feature constraints, cross-PL:other dependency","intra-component:value control, cross-component:value control, cross-component:value equality, intra-component:value range constraints","intra-PL = feature = software-product-line, inter-PL = multi-product-line",done,done,done,done
Consistent product line configuration across file type and product line boundaries,Backward,relevant,Managing emerging configuration dependencies in multi product lines,2010,SPLC,"intra-PL:constraints, inter-PL:constraints","intra-PL:constraints, cross-PL:constraints",intra-PL:other dependency,cross-component:value control,,done,done,,done
Product line bundles to support product derivation in multi product lines,Backward,relevant,Managing emerging configuration dependencies in multi product lines,2011,SPLC,inter-PL:constraints,cross-PL:constraints,cross-PL:other dependency,cross-component:value control,,done,done,,done
